Data;DP;Localidade;munic;Regiao;Ocorrencias;Qtde;Qtde Últimos 30 dias;Qtde Últimos 60 dias;Qtde Últimos 90 dias;Qtde YoY;Part. Ocorrencia
01/01/2017 00:00;101ª DP;Pinheiral,Rio de Janeiro,RJ,Brazil;Pinheiral;Interior;furto_transeunte;0;0;0;0;0.00%;0.00%
01/01/2017 00:00;104ª DP;São José do Vale do Rio Preto,Rio de Janeiro,RJ,Brazil;São José do Vale do Rio Preto;Interior;furto_transeunte;0;0;0;0;0.00%;0.00%
01/01/2017 00:00;105ª DP;Petrópolis,Rio de Janeiro,RJ,Brazil;Petrópolis;Interior;furto_transeunte;9;9;9;9;0.00%;6.92%
01/01/2017 00:00;106ª DP;Petrópolis,Rio de Janeiro,RJ,Brazil;Petrópolis;Interior;furto_transeunte;1;1;1;1;0.00%;2.56%
01/01/2017 00:00;107ª DP;Paraíba do Sul,Rio de Janeiro,RJ,Brazil;Paraíba do Sul;Interior;furto_transeunte;0;0;0;0;0.00%;0.00%
01/01/2017 00:00;109ª DP;Sapucaia,Rio de Janeiro,RJ,Brazil;Sapucaia;Interior;furto_transeunte;0;0;0;0;0.00%;0.00%
01/01/2017 00:00;10ª DP;Rio de Janeiro,Rio de Janeiro,RJ,Brazil;Rio de Janeiro;Capital;furto_transeunte;22;22;22;22;0.00%;19.64%
01/01/2017 00:00;110ª DP;Teresópolis,Rio de Janeiro,RJ,Brazil;Teresópolis;Interior;furto_transeunte;6;6;6;6;0.00%;5.61%
01/01/2017 00:00;111ª DP;Sumidouro,Rio de Janeiro,RJ,Brazil;Sumidouro;Interior;furto_transeunte;0;0;0;0;0.00%;0.00%
01/01/2017 00:00;112ª DP;Carmo,Rio de Janeiro,RJ,Brazil;Carmo;Interior;furto_transeunte;0;0;0;0;0.00%;0.00%
01/01/2017 00:00;118ª DP;Araruama,Rio de Janeiro,RJ,Brazil;Araruama;Interior;furto_transeunte;3;3;3;3;0.00%;2.88%
01/01/2017 00:00;119ª DP;Rio Bonito,Rio de Janeiro,RJ,Brazil;Rio Bonito;Interior;furto_transeunte;1;1;1;1;0.00%;2.38%
01/01/2017 00:00;11ª DP;Rio de Janeiro,Rio de Janeiro,RJ,Brazil;Rio de Janeiro;Capital;furto_transeunte;1;1;1;1;0.00%;3.45%
01/01/2017 00:00;120ª DP;Silva Jardim,Rio de Janeiro,RJ,Brazil;Silva Jardim;Interior;furto_transeunte;0;0;0;0;0.00%;0.00%
01/01/2017 00:00;121ª DP;Casimiro de Abreu,Rio de Janeiro,RJ,Brazil;Casimiro de Abreu;Interior;furto_transeunte;1;1;1;1;0.00%;3.57%
